Date,Open,High,Low,Close,Tesla Trading Volume,Adj Close
13-Dec-16,202.490005,204.449997,199.839996,202.729996,5915700,202.729996
14-Dec-16,202.490005,204.449997,199.839996,202.729996,3782500,202.729996
15-Dec-16,202.490005,204.449997,199.839996,202.729996,4045000,202.729996
16-Dec-16,202.490005,204.449997,199.839996,202.729996,4642600,202.729996
17-Dec-16,202.490005,204.449997,199.839996,202.729996,5240200,202.729996
18-Dec-16,202.490005,204.449997,199.839996,202.729996,5837800,202.729996
19-Dec-16,202.490005,204.449997,199.839996,202.729996,3488100,202.729996
20-Dec-16,203.050003,209,202.5,208.789993,4689100,208.789993
21-Dec-16,208.449997,212.229996,207.410004,207.699997,5207600,207.699997
22-Dec-16,208.220001,209.990005,206.5,208.449997,3111100,208.449997
23-Dec-16,208,213.449997,207.710007,213.339996,4670500,213.339996
27-Dec-16,214.880005,222.25,214.419998,219.529999,5915700,219.529999
28-Dec-16,221.529999,223.800003,217.199997,219.740005,3782500,219.740005
29-Dec-16,218.559998,219.199997,214.119995,214.679993,4045000,214.679993
30-Dec-16,216.300003,217.5,211.679993,213.690002,4642600,213.690002
31-Dec-16,214.860001,220.330002,210.960007,216.990005,5240200,216.990005
1-Jan-17,214.860001,220.330002,210.960007,216.990005,5837800,216.990005
3-Jan-17,214.860001,220.330002,210.960007,216.990005,6435400,216.990005
4-Jan-17,214.75,228,214.309998,226.990005,11213500,226.990005
5-Jan-17,226.419998,227.479996,221.949997,226.75,5911700,226.75
6-Jan-17,226.929993,230.309998,225.449997,229.009995,5527900,229.009995
9-Jan-17,228.970001,231.919998,228,231.279999,3957000,231.279999
10-Jan-17,232,232,226.889999,229.869995,3648900,229.869995
11-Jan-17,229.070007,229.979996,226.679993,229.729996,3649100,229.729996
12-Jan-17,229.059998,230.699997,225.580002,229.589996,3786700,229.589996
13-Jan-17,230,237.850006,229.589996,237.75,6071400,237.75
14-Jan-17,1377,240.713343,230.1933333,240.376668,6924700,240.376668
15-Jan-17,743,244.648348,231.6483348,244.38667,8135850,244.38667
16-Jan-17,616,248.583353,233.1033363,248.396672,9347000,248.396672
17-Jan-17,255,252.518358,234.5583378,252.406674,10558150,252.406674
18-Jan-17,304,256.453363,236.0133393,256.416676,11769300,256.416676
19-Jan-17,577,260.388368,237.4683408,260.426678,5911700,260.426678
20-Jan-17,525,264.323373,238.9233423,264.43668,5527900,264.43668
21-Jan-17,486,268.258378,240.3783438,268.446682,3957000,268.446682
22-Jan-17,446,272.193383,241.8333453,272.456684,16613900,272.456684
