date:,tweets:,,
13 December 2016,10,,
14 December 2016,46,,
15 December 2016,471,,
16 December 2016,467,,
17 December 2016,249,,
18 December 2016,186,,
19 December 2016,411,,
20 December 2016,640,,
21 December 2016,514,,
22 December 2016,389,,
23 December 2016,413,,
24 December 2016,193,,
25 December 2016,174,,
26 December 2016,175,,
27 December 2016,703,,
28 December 2016,481,,
29 December 2016,468,,
30 December 2016,475,,
31 December 2016,199,,
1 January 2017,194,,
13 January 2017,706,,
14 January 2017,363,,
15 January 2017,280,,
16 January 2017,206,,
1 February 2017,284,,
1 March 2017,585,,
1 April 2017,1377,,
1 May 2017,743,,
1 June 2017,616,,
1 July 2017,255,,
1 August 2017,304,,
1 September 2017,577,,
1 October 2017,525,,
1 November 2017,486,,
1 December 2017,446,,
