<<<<<<< HEAD
Name,Tweet,Link,Date,Count
@RossKerber,"With bylaw tweaks, #Apple grants activist one of three wishes | Article [AMP] | Reuters #corpgov $AAPL https://t.co/WN4qjfdfA3",http://twitter.com/RossKerber/status/809790737307095041,"December 16, 2016 at 06:02PM",10
@MarkSoFla,"Sell some Jan Ÿ??17 spreads on $AAPL, nearly full value and I want the gains booked in 2016. Some in IRA will reach full value. #stock #trade",http://twitter.com/MarkSoFla/status/809790749994876928,"December 16, 2016 at 06:02PM",3
@_peripherals,#Apple AirPods: $ 69 for the single. Read more: https://t.co/2NAWqTLIu5 $AAPL,http://twitter.com/_peripherals/status/809791349062922240,"December 16, 2016 at 06:04PM",6
@computer_hware,#Apple AirPods: $ 69 for the single. Read more: https://t.co/PmVyQD9YaB $AAPL,http://twitter.com/computer_hware/status/809791349100724224,"December 16, 2016 at 06:04PM",2
@electronic_eqpt,#Apple AirPods: $ 69 for the single. Read more: https://t.co/7sgdG7YV9i $AAPL,http://twitter.com/electronic_eqpt/status/809791349163626496,"December 16, 2016 at 06:04PM",7
=======
Name,Tweet,Link,Date,Count
@RossKerber,"With bylaw tweaks, #Apple grants activist one of three wishes | Article [AMP] | Reuters #corpgov $AAPL https://t.co/WN4qjfdfA3",http://twitter.com/RossKerber/status/809790737307095041,"December 16, 2016 at 06:02PM",10
@MarkSoFla,"Sell some Jan Ÿ??17 spreads on $AAPL, nearly full value and I want the gains booked in 2016. Some in IRA will reach full value. #stock #trade",http://twitter.com/MarkSoFla/status/809790749994876928,"December 16, 2016 at 06:02PM",3
@_peripherals,#Apple AirPods: $ 69 for the single. Read more: https://t.co/2NAWqTLIu5 $AAPL,http://twitter.com/_peripherals/status/809791349062922240,"December 16, 2016 at 06:04PM",6
@computer_hware,#Apple AirPods: $ 69 for the single. Read more: https://t.co/PmVyQD9YaB $AAPL,http://twitter.com/computer_hware/status/809791349100724224,"December 16, 2016 at 06:04PM",2
@electronic_eqpt,#Apple AirPods: $ 69 for the single. Read more: https://t.co/7sgdG7YV9i $AAPL,http://twitter.com/electronic_eqpt/status/809791349163626496,"December 16, 2016 at 06:04PM",7
>>>>>>> origin/master
